model,val_rmse,val_mae,val_r2,test_rmse,test_mae,test_r2
lr,8.581014799677702e-12,6.6834480115364956e-12,1.0,9.214555515714444e-12,7.305101643301011e-12,1.0
rf,67.55904847550677,28.57840033153752,0.999787202729647,122.77220041509882,22.225313535911628,0.9992642488867918
gb,72.86516248588191,52.32180072941832,0.9997524637087488,64.28484483775058,46.46768333737607,0.9997982804231131
rf_tuned,68.06917653337655,,,122.35411249750145,,
gb_tuned,54.635654925033535,,,51.66696230533462,,
