,LM,Logit,GBM,RF,XGB,ET,DT
Train_RMSE,89.80792843447126,102.38726366512103,22.114537790422027,26.176392989099366,45.150130694803224,6.030566649805473,60.792072187703276
Train_MAE,50.8808025607048,42.933873828223966,14.058338793747275,12.442538636939448,25.59272003173828,3.0360803277178046,20.915463221011738
Train_MAPE,0.5842879800555462,0.2901285914427022,0.1821682740809856,0.12372046566469105,0.2959994375705719,0.03949365925331592,0.1694030160550961
Train_R2,0.21872232871136843,-0.015471941307569681,0.952626901818394,0.9336263563761753,0.8025332093238831,0.9964771650350908,0.6420107798407335
Val_RMSE,90.68537774186544,101.7692487188472,70.25272782545923,69.47136377474229,72.51094004204641,67.2782669687978,86.9229132929469
Val_MAE,51.77130819550538,43.43045350899417,34.03711909843213,33.70186724094249,37.972129821777344,31.454083424270816,39.01570813275906
Val_MAPE,0.6064358556061564,0.29900834475401566,0.3437867839322642,0.3433339902475549,0.4056463837623596,0.31503225162405835,0.36452858775497393
Val_R2,0.18146692763699368,-0.030848482097144858,0.5087663793144619,0.5196327976317487,0.4766783118247986,0.5494828889110746,0.24797851905709778
Test_RMSE,96.47119504645464,110.21928071070462,75.24872969315543,76.28933305584006,80.50592891112896,71.14235738312487,92.10529906600107
Test_MAE,53.696953584226904,46.81783633139093,36.204897115805636,36.0617506967317,40.97209930419922,32.69000045217049,40.627058525462374
Test_MAPE,0.5905621500873515,0.30208714463725767,0.3479930960725541,0.3360610509967269,0.40389853715896606,0.3017158819565623,0.35290873196644573
Test_R2,0.19256738271448803,-0.0539648261784329,0.5087423593846911,0.49506135669101625,0.4377018213272095,0.5608959160592932,0.2639959458762342
